Isotope,Halflife,Halflife unit,Dose rate (effective) uSv/hr pr MBq at 1m,1stHVL Lead,2ndHVL Lead,1stTVL Lead,2ndTVL Lead,1stHVL Steel,2ndHVL Steel,1stTVL Steel,2ndTVL Steel,1stHVL Concrete,2ndHVL Concrete,1stTVL Concrete,2ndTVL Concrete
C-11,20.37,minutes,1.44E-01,5,4.48,15.2,13.9,25.8,17.1,62.8,45.2,101.1,56,221.8,144.3
N-13,9.97,minutes,1.44E-01,5,4.5,15.2,13.9,25.8,17,62.8,45.2,101.1,56,221.8,144.2
O-15,2.04,minutes,1.44E-01,5.03,4.46,15.2,13.8,25.8,17.1,62.8,45.2,101.1,56,221.8,144.3
F-18,1.83,hours,1.40E-01,5.03,4.46,15.2,13.8,25.8,17.1,62.8,45.2,101.1,56,221.8,144.3
Na-22,2.6,years,2.85E-01,8.73,10.2,34.7,40.3,30.4,22,79.6,66.2,108.3,69.7,261,198.2
Na-24,14.957,hours,4.27E-01,19.1,16.6,57.1,52.9,40.8,31.6,110.5,90.6,134.2,101,355.1,286.1
Sc-46,83.79,days,2.57E-01,12.4,10.8,37,33.5,32.8,23.7,84.2,63,112.1,74.5,272.1,192.4
V-48,15.97,days,3.71E-01,11.3,11.5,38.4,38.7,32.2,23.7,84.4,66.9,111.5,74.4,272.9,202.5
Cr-51,27.7,days,4.55E-03,2.04,1.84,6.27,5.9,19.9,12.8,47.9,34.5,93.5,46.5,194.1,120.1
Mn-52,5.59,days,4.39E-01,11.5,11.3,38.1,40.1,32.4,23.8,84.7,67.4,112.1,74.5,273.8,203.9
Mn-56,2.58,hours,2.05E-01,13.4,12.7,43.6,48,34.7,26,92.2,77,118,80.8,296.1,235
Co-56,77.31,days,4.19E-01,13.8,13.4,45.6,48.7,35.2,26.6,94.8,81.9,119.8,83.8,305.9,257
Co-57,271.8,days,1.77E-02,0.35,0.27,0.97,1.42,5.58,4.21,15.2,15.3,65.5,28.9,128.8,81.2
Co-58,70.86,days,1.31E-01,8.8,8.07,27.4,26.1,29.7,20.8,75,55.9,106.6,66.6,248.9,172.1
Co-60,5.27,years,3.06E-01,15.2,13.2,44.9,39.6,35.1,26.1,91.8,69.3,117,81.6,292.3,210.6
Zn-62,9.26,hours,2.08E-01,4.99,4.65,15.7,15.1,25.3,17.3,62.9,46.1,99.6,56.7,221.6,146.4
Cu-62,9.75,minutes,1.45E-01,5.06,4.49,15.4,14.5,25.8,17.1,63,45.6,101.1,56.2,222.2,145.3
Cu-64,12.7,hours,2.66E-02,5.15,4.64,16,18,26,17.3,63.7,47.2,101.4,56.7,224,148.9
Zn-65,244.15,days,7.30E-02,13.5,11.8,40.2,35.4,33.6,24.6,87,65.3,113.6,77.2,279.3,198.9
Cu-67,2.579,days,1.67E-02,0.56,0.53,1.83,2.35,9.28,7.86,26.9,23.5,74.9,35.5,152.7,97.1
Ga-67,3.26,days,2.25E-02,0.81,1.31,4.56,8.73,11.2,11.7,37.7,36.5,76.7,41,167.8,119
Ge-68,270.95,days,1.34E-01,5.18,4.67,16.1,17.6,26,17.3,63.7,47,101.4,56.8,223.9,148.4
Ga-68,1.128,hours,1.34E-01,5.18,4.67,16.1,17.6,26,17.3,63.7,47,101.4,56.8,223.9,148.4
Se-75,119.6,days,5.58E-02,1.02,1.39,4.49,6.77,13.7,11.3,39.2,33.9,83.7,41.4,174.8,115.1
Sr-82,25.55,days,1.57E-01,5.36,4.9,16.8,18.6,26.2,17.6,64.5,47.8,101.6,57.4,225.6,150.5
Rb-82,1.27,minutes,1.55E-01,5.37,4.9,16.8,18.6,26.3,17.6,64.5,47.8,101.7,57.4,225.7,150.4
Kr-85,10.75,years,3.16E-04,5.08,4.51,15.4,14,25.8,17.2,63,45.3,101.2,56.3,222.2,144.6
Zr-89,3.267,days,1.54E-01,9.25,9.01,30.2,29.7,29.9,21.5,77,58.9,106.3,68.7,254,179.8
Zr-95,64.032,days,2.01E-01,8.95,7.7,26.5,23.5,29.7,20.7,74.6,54.5,106.9,66,248,169
Tc-94m,52,minutes,2.52E-01,8.08,8.85,30.3,40.9,29.2,21.4,77.3,67.6,105.8,68.8,256.7,206.8
Tc-95,20,hours,1.09E-01,7.43,8.26,26.1,25.3,25,21.8,71.9,56.2,89.5,160.7,238.9,173.5
Tc-96,4.28,days,3.35E-01,9.34,8.79,29.3,27.3,28.9,21.9,76.4,57.6,102.3,70.2,251.3,177.3
Nb-96,23.35,hours,3.25E-01,9.18,9.07,30.7,32.6,30.1,21.6,77.4,60.2,107.6,68.2,255.1,183
Mo-99,2.75,days,3.66E-02,0.86,5.94,17,23.9,11.7,15.3,52.2,56.8,77.4,48.4,190.1,165.7
Tc-99m,6.01,hours,1.85E-02,0.36,0.31,1.06,0.94,6.47,5.25,18.2,15.2,66.6,31.7,135.3,83.7
Pd-103,16.98,days,5.34E-03,7.70E-03,7.60E-03,2.60E-02,2.80E-02,3.70E-02,3.70E-02,0.13,0.14,1.21,1.15,3.9,4.14
Cd-109,1.267,years,9.08E-03,1.00E-02,1.00E-02,3.40E-02,6.70E-02,5.00E-02,5.10E-02,0.18,2.35,1.64,1.58,5.52,42.9
Ag-110m,249.78,days,3.60E-01,10.2,9.53,32.7,35.8,31.1,22.4,80.1,62.6,109.6,70.4,262,190.3
In-111,2.8,days,6.33E-02,0.51,0.81,2.46,3.19,8.9,9.57,30.1,27.4,65.1,42.2,154.3,105.2
I-123,13.22,hours,2.96E-02,9.30E-02,0.51,1.32,10.7,1.89,8.76,20.5,32.3,37.3,45.3,128.2,106.5
I-124,4.176,days,1.48E-01,7.15,8.59,29.8,45.9,27.1,21.8,75.9,69.2,99.6,69.5,252.3,207.7
I-125,59.41,days,1.45E-02,1.70E-02,1.70E-02,5.80E-02,6.40E-02,9.30E-02,9.30E-02,0.31,0.35,3.13,2.8,9.67,10
I-131,8.023,days,5.47E-02,2.83,2.92,10.1,15.7,21.7,14.8,54.2,41.9,94.6,51,205,134.4
Sb-124,60.2,days,2.27E-01,11,12,40.9,47.6,32.8,24.4,87.5,74.8,113.5,76.6,282.6,225.9
Ba-133,10.54,years,6.43E-02,0.87,2.21,5.96,7.29,10.3,15.3,42.3,37.3,57.4,55.3,171,127.3
